Time,Car,X,Y,"Distance to BS(4982,905)"
444,3859,4908,752,169
444,4771,4658,930,324
444,2982,4675,935,308
444,4589,4948,821,89
444,2602,4621,964,365
445,4589,5082,1168,281
445,4924,4570,974,417
445,1782,5200,556,410
445,4890,4619,949,365
445,3859,4894,754,174
446,4890,4821,798,192
446,2416,4514,1024,482
446,3859,5110,562,365
446,1782,5200,556,410
446,4924,4816,804,194
447,1782,5200,556,410
447,4890,4821,800,191
447,2416,4749,847,239
447,4924,4813,808,194
448,2416,4799,818,201
448,4924,4843,785,183
448,1782,5049,657,256
448,4890,4852,777,181
449,1177,4710,350,618
449,2416,4961,690,215
449,2143,5014,1073,171
449,4924,5115,597,335
449,1782,4682,897,299
449,4890,5151,564,380
450,1177,5043,1084,189
450,2416,5322,438,577
450,2143,4874,723,211
450,4890,5470,330,754
450,4924,5409,380,676
451,5239,4663,926,318
451,2143,4874,723,211
452,5239,4680,881,302
453,5239,4680,881,302
454,5239,4681,876,302
454,1284,5065,351,559
454,3183,4691,885,291
455,1284,5231,500,474
455,5239,4672,876,310
455,873,4869,682,249
455,3183,4914,719,197
456,4940,4546,992,443
456,5239,4673,876,309
456,3183,5130,541,392
456,5030,5389,421,632
456,873,5051,1129,234
457,5239,4673,876,309
457,4940,4801,804,206
457,5030,5223,537,439
457,2349,4807,541,403
458,4940,4816,790,201
458,2349,5061,1131,239
458,5030,5223,537,439
458,5239,4676,872,307
459,4506,4752,854,234
459,3029,5062,1202,308
459,5030,5223,537,439
459,5239,4677,872,306
459,4940,4814,790,202
460,2892,4979,1011,106
460,5239,4676,872,307
460,3029,4924,877,63
460,5030,5079,636,285
460,4940,4841,767,196
460,4506,4944,711,196
461,48,5092,1280,391
461,4049,4633,910,348
461,4506,5247,498,485
461,5239,4677,872,306
461,3029,4854,816,155
461,5030,4826,806,184
461,2892,4892,821,122
461,4940,5019,626,280
462,5030,4605,963,381
462,48,4942,918,42
462,2892,4711,912,270
462,4940,5354,408,621
462,3029,4698,916,283
462,4049,4823,794,192
462,5239,4677,872,306
463,4049,4831,787,191
463,5239,4677,872,306
463,2892,4535,1057,471
463,48,4912,787,137
463,2123,4500,1030,497
464,5239,4677,872,306
464,2123,4792,819,207
464,4049,4833,785,190
464,4046,5444,373,704
464,3904,5354,1057,402
464,48,4912,750,169
464,278,5402,406,652
465,1525,5074,1226,334
465,48,5117,584,348
465,3904,5322,810,353
465,278,5230,526,452
465,5239,4678,872,304
465,2123,4809,796,203
465,4046,5251,516,472
465,4049,4836,785,188
466,4046,5231,529,450
466,3904,5418,742,465
466,1525,4904,796,133
466,4532,4777,819,221
466,48,5354,409,619
466,4049,4862,769,180
466,2281,5070,1195,303
466,2765,4520,1021,475
466,5239,4678,872,304
466,278,5162,572,378
466,2123,4837,775,194
467,5239,4678,872,304
467,1525,4904,796,133
467,2123,5117,572,359
467,2765,4796,818,205
467,4046,5033,663,247
467,2281,4853,665,272
467,4532,5016,643,263
467,4049,5151,556,387
467,278,4917,752,165
468,4049,5491,321,775
468,2765,4834,789,187
468,4532,5302,442,562
468,5239,4678,872,304
468,4046,4965,707,197
468,278,4754,864,230
468,2281,4707,357,612
468,4050,4763,825,232
468,2123,5442,342,726
469,5239,4678,872,304
469,4050,4829,763,207
469,4046,4965,707,197
469,2765,5046,636,276
469,278,4580,994,411
469,1157,4752,837,239
470,1157,4806,794,207
470,4050,4827,767,206
470,4046,4961,707,198
470,5239,4678,872,304
470,2765,5395,379,669
471,1157,4803,794,209
471,4050,4828,765,207
471,5239,4678,872,304
471,4046,4959,711,194
471,1486,4647,897,334
472,5239,4678,872,304
472,4050,4915,707,208
472,4046,4912,744,175
472,1486,4776,821,221
472,1157,4839,769,196
472,4913,5314,467,549
473,4913,4970,715,189
473,5239,4735,827,258
473,1157,5087,589,332
473,4046,4673,924,308
473,4050,5221,491,478
473,0,5223,531,444
473,1486,4942,703,205
473,1208,4711,876,272
474,1047,4675,910,306
474,1157,5146,560,381
474,1486,5247,485,496
474,0,4971,719,185
474,1208,4823,789,196
474,5239,4847,756,200
474,4913,4945,734,173
475,1208,4824,789,195
475,1047,4781,847,209
475,4913,4942,738,171
475,1157,5235,686,334
475,0,4958,727,179
475,5239,4859,754,194
476,1512,5307,450,558
476,5239,4858,738,207
476,4913,4940,738,171
476,0,4955,729,177
476,1208,4824,789,195
476,1157,5347,1075,403
476,1047,4905,746,175
477,5239,4948,686,221
477,1512,5203,524,440
477,1047,5137,595,346
477,1208,4900,740,183
477,0,4955,729,177
477,4913,4943,736,172
